ID,Pred
2014_1107_1110,0.05
2014_1107_1112,0.95
2014_1107_1113,0.95
2014_1107_1124,0.95
2014_1107_1140,0.95
2014_1107_1142,0.05
2014_1107_1153,0.95
2014_1107_1157,0.05
2014_1107_1160,0.95
2014_1107_1163,0.05
2014_1107_1166,0.95
2014_1107_1173,0.95
2014_1107_1174,0.05
2014_1107_1181,0.667364780469
2014_1107_1184,0.95
2014_1107_1196,0.95
2014_1107_1203,0.95
2014_1107_1211,0.95
2014_1107_1217,0.0546844999033
2014_1107_1234,0.05
2014_1107_1235,0.95
2014_1107_1242,0.95
2014_1107_1243,0.95
2014_1107_1246,0.95
2014_1107_1257,0.95
2014_1107_1264,0.05
2014_1107_1269,0.95
2014_1107_1272,0.95
2014_1107_1273,0.345609955182
2014_1107_1276,0.95
2014_1107_1277,0.95
2014_1107_1291,0.95
2014_1107_1295,0.05
2014_1107_1300,0.05
2014_1107_1301,0.95
2014_1107_1304,0.95
2014_1107_1307,0.476003823572
2014_1107_1308,0.05
2014_1107_1314,0.95
2014_1107_1326,0.89013494316
2014_1107_1328,0.95
2014_1107_1329,0.95
2014_1107_1332,0.896780431926
2014_1107_1338,0.651120090519
2014_1107_1344,0.382742096585
2014_1107_1361,0.95
2014_1107_1372,0.95
2014_1107_1386,0.936132030572
2014_1107_1387,0.95
2014_1107_1390,0.95
2014_1107_1393,0.95
2014_1107_1397,0.95
2014_1107_1400,0.95
2014_1107_1409,0.05
2014_1107_1411,0.95
2014_1107_1417,0.95
2014_1107_1418,0.05
2014_1107_1433,0.95
2014_1107_1437,0.95
2014_1107_1438,0.95
2014_1107_1444,0.95
2014_1107_1451,0.05
2014_1107_1454,0.05
2014_1107_1455,0.95
2014_1107_1458,0.95
2014_1107_1459,0.15521007532
2014_1107_1462,0.05
2014_1110_1112,0.766228862178
2014_1110_1113,0.95
2014_1110_1124,0.95
2014_1110_1140,0.95
2014_1110_1142,0.05
2014_1110_1153,0.95
2014_1110_1157,0.05
2014_1110_1160,0.930566900582
2014_1110_1163,0.928853129944
2014_1110_1166,0.95
2014_1110_1173,0.95
2014_1110_1174,0.05
2014_1110_1181,0.95
2014_1110_1184,0.05
2014_1110_1196,0.95
2014_1110_1203,0.95
2014_1110_1211,0.95
2014_1110_1217,0.95
2014_1110_1234,0.114318043556
2014_1110_1235,0.734008526138
2014_1110_1242,0.95
2014_1110_1243,0.95
2014_1110_1246,0.0955806988197
2014_1110_1257,0.95
2014_1110_1264,0.05
2014_1110_1269,0.95
2014_1110_1272,0.95
2014_1110_1273,0.05
2014_1110_1276,0.95
2014_1110_1277,0.479903135853
2014_1110_1291,0.95
2014_1110_1295,0.05
2014_1110_1300,0.95
2014_1110_1301,0.95
2014_1110_1304,0.934493315686
2014_1110_1307,0.95
2014_1110_1308,0.0583415105932
2014_1110_1314,0.95
2014_1110_1326,0.95
2014_1110_1328,0.95
