ID,Pred
2014_1107_1110,0.410175540031
2014_1107_1112,0.05
2014_1107_1113,0.05
2014_1107_1124,0.05
2014_1107_1140,0.05
2014_1107_1142,0.806689941554
2014_1107_1153,0.05
2014_1107_1157,0.05
2014_1107_1160,0.05
2014_1107_1163,0.05
2014_1107_1166,0.05
2014_1107_1173,0.05
2014_1107_1174,0.05
2014_1107_1181,0.05
2014_1107_1184,0.178465792283
2014_1107_1196,0.05
2014_1107_1203,0.05
2014_1107_1211,0.05
2014_1107_1217,0.774078098989
2014_1107_1234,0.05
2014_1107_1235,0.05
2014_1107_1242,0.05
2014_1107_1243,0.05
2014_1107_1246,0.05
2014_1107_1257,0.05
2014_1107_1264,0.05
2014_1107_1269,0.05
2014_1107_1272,0.05
2014_1107_1273,0.05
2014_1107_1276,0.05
2014_1107_1277,0.05
2014_1107_1291,0.05
2014_1107_1295,0.25150087937
2014_1107_1300,0.0651191701905
2014_1107_1301,0.477612103041
2014_1107_1304,0.05
2014_1107_1307,0.05
2014_1107_1308,0.0913555677703
2014_1107_1314,0.05
2014_1107_1326,0.05
2014_1107_1328,0.05
2014_1107_1329,0.05
2014_1107_1332,0.05
2014_1107_1338,0.05
2014_1107_1344,0.05
2014_1107_1361,0.292372483571
2014_1107_1372,0.95
2014_1107_1386,0.05
2014_1107_1387,0.05
2014_1107_1390,0.05
2014_1107_1393,0.05
2014_1107_1397,0.482501297608
2014_1107_1400,0.05
2014_1107_1409,0.05
2014_1107_1411,0.05
2014_1107_1417,0.05
2014_1107_1418,0.05
2014_1107_1433,0.05
2014_1107_1437,0.05
2014_1107_1438,0.05
2014_1107_1444,0.05
2014_1107_1451,0.348510549835
2014_1107_1454,0.526060463724
2014_1107_1455,0.05
2014_1107_1458,0.05
2014_1107_1459,0.95
2014_1107_1462,0.05
2014_1110_1112,0.05
2014_1110_1113,0.05
2014_1110_1124,0.05
2014_1110_1140,0.05
2014_1110_1142,0.841479690388
2014_1110_1153,0.05
2014_1110_1157,0.05
2014_1110_1160,0.05
2014_1110_1163,0.05
2014_1110_1166,0.05
2014_1110_1173,0.05
2014_1110_1174,0.05
2014_1110_1181,0.05
2014_1110_1184,0.216425985577
2014_1110_1196,0.05
2014_1110_1203,0.05
2014_1110_1211,0.05
2014_1110_1217,0.813347640729
2014_1110_1234,0.05
2014_1110_1235,0.05
2014_1110_1242,0.05
2014_1110_1243,0.05
2014_1110_1246,0.05
2014_1110_1257,0.05
2014_1110_1264,0.05
2014_1110_1269,0.05
2014_1110_1272,0.05
2014_1110_1273,0.05
2014_1110_1276,0.05
2014_1110_1277,0.05
2014_1110_1291,0.05
2014_1110_1295,0.299335689024
2014_1110_1300,0.0813578752941
2014_1110_1301,0.537581407155
2014_1110_1304,0.05
2014_1110_1307,0.05
2014_1110_1308,0.11334364193
2014_1110_1314,0.05
2014_1110_1326,0.05
2014_1110_1328,0.05
2014_1110_1329,0.05
2014_1110_1332,0.05
2014_1110_1338,0.05
2014_1110_1344,0.05
2014_1110_1361,0.346975749443
2014_1110_1372,0.95
2014_1110_1386,0.05
2014_1110_1387,0.05
2014_1110_1390,0.05
2014_1110_1393,0.05
2014_1110_1397,0.542459045384
2014_1110_1400,0.05
2014_1110_1409,0.05
2014_1110_1411,0.05
2014_1110_1417,0.05
2014_1110_1418,0.05
2014_1110_1433,0.05
2014_1110_1437,0.05
2014_1110_1438,0.05
2014_1110_1444,0.05
2014_1110_1451,0.40271424547
2014_1110_1454,0.585747824155
