ID,Pred
2018_1438_1420,0.5
2018_1166_1243,0.5
2018_1246_1172,0.5
2018_1112_1138,0.5
2018_1274_1260,0.5
2018_1397_1460,0.5
2018_1305_1400,0.5
2018_1153_1209,0.5
2018_1462_1402,0.5
2018_1281_1199,0.5
2018_1326_1355,0.5
2018_1211_1422,0.5
2018_1222_1377,0.5
2018_1276_1285,0.5
2018_1401_1344,0.5
2018_1314_1252,0.5
2018_1437_1347,0.5
2018_1439_1104,0.5
2018_1452_1293,0.5
2018_1455_1267,0.5
2018_1196_1382,0.5
2018_1403_1372,0.5
2018_1116_1139,0.5
2018_1345_1168,0.5
2018_1242_1335,0.5
2018_1371_1301,0.5
2018_1155_1308,0.5
2018_1120_1149,0.5
2018_1395_1393,0.5
2018_1277_1137,0.5
2018_1348_1328,0.5
2018_1181_1233,0.5
