gender,forecast_date,playin_flag,rd1_win,rd2_win,rd3_win,rd4_win,rd5_win,rd6_win,rd7_win,team_alive,team_id,team_name,team_rating,team_region,team_seed
mens,3/12/2018,0,1,0.985307623,0.863123252,0.668032734,0.497134484,0.291067336,0.179788105,1,222,Villanova,94.92,East,1
mens,3/12/2018,0,1,0.978539485,0.831920666,0.611027331,0.410680678,0.263778834,0.137380321,1,258,Virginia,93.07,South,1
mens,3/12/2018,0,1,0.958061524,0.806459496,0.466602148,0.288302434,0.162518234,0.100162655,1,150,Duke,92.59,Midwest,2
mens,3/12/2018,0,1,0.954136245,0.764045853,0.6174439,0.318450582,0.152683444,0.082690995,1,2305,Kansas,90.88,Midwest,1
mens,3/12/2018,0,1,0.922757,0.750632792,0.40449112,0.24435115,0.120660554,0.066905287,1,127,Michigan State,91.67,Midwest,3
mens,3/12/2018,0,1,0.932632275,0.775165369,0.52523671,0.252412571,0.145426933,0.066705425,1,2132,Cincinnati,91.06,South,2
mens,3/12/2018,0,1,0.977510528,0.732650723,0.500512797,0.201761026,0.101218744,0.054928063,1,2509,Purdue,91.08,East,2
mens,3/12/2018,0,1,0.964770083,0.788145697,0.458877627,0.251528088,0.120285794,0.053120827,1,153,North Carolina,90.62,West,2
mens,3/12/2018,0,1,0.917008999,0.697667105,0.430707399,0.239689513,0.101366002,0.039764084,1,2250,Gonzaga,89.54,West,4
mens,3/12/2018,0,1,0.97781951,0.703367988,0.343050095,0.171106142,0.07466762,0.030185548,1,2752,Xavier,88.88,West,1
mens,3/12/2018,0,1,0.893139074,0.549710436,0.27120097,0.136965937,0.059142442,0.023668381,1,130,Michigan,88.54,West,3
mens,3/12/2018,0,1,0.757058643,0.401467187,0.155804193,0.083921649,0.044147336,0.018290801,1,96,Kentucky,88.17,South,5
mens,3/12/2018,0,1,0.907044873,0.594002816,0.268427871,0.104963187,0.048858173,0.017737866,1,2633,Tennessee,87.17,South,3
mens,3/12/2018,0,1,0.83594834,0.444677358,0.144634625,0.082141162,0.036050877,0.017491553,1,277,West Virginia,88.58,East,5
mens,3/12/2018,0,1,0.909079412,0.500517258,0.129471485,0.063224158,0.028887527,0.014496691,1,2724,Wichita State,87.97,East,4
mens,3/12/2018,0,1,0.848210938,0.482545885,0.145428516,0.064936309,0.034508035,0.014457699,1,12,Arizona,87.86,South,4
mens,3/12/2018,0,1,0.71781195,0.339960976,0.152265103,0.070551371,0.031714988,0.013192712,1,248,Houston,86.21,West,6
mens,3/12/2018,0,1,0.893567434,0.534711547,0.202128494,0.055695309,0.025252226,0.012590842,1,2641,Texas Tech,87.27,East,3
mens,3/12/2018,0,1,0.658774433,0.317751931,0.128573774,0.038000657,0.015378837,0.006969999,1,57,Florida,86.43,East,6
mens,3/12/2018,0,1,0.765700867,0.239790799,0.112313937,0.047164415,0.017288932,0.005918069,1,194,Ohio State,85.59,West,5
mens,3/12/2018,0,1,0.573537803,0.136076865,0.047718593,0.020620746,0.008259008,0.003871233,1,2628,Texas Christian,84.84,Midwest,6
mens,3/12/2018,0,1,0.631560664,0.157958104,0.095318636,0.028435043,0.008908859,0.003416848,1,2550,Seton Hall,85.05,Midwest,8
mens,3/12/2018,0,1,0.798161036,0.416372948,0.112993258,0.030250307,0.009110464,0.003381663,1,2,Auburn,84.04,Midwest,4
mens,3/12/2018,0,1,0.603822409,0.174723545,0.087487325,0.022787846,0.007971055,0.003193267,1,2086,Butler,84.65,East,10
mens,3/12/2018,0,1,0.619810057,0.350699548,0.098184468,0.02708695,0.008189983,0.003049958,1,228,Clemson,84.15,Midwest,5
mens,3/12/2018,0,1,0.582693088,0.128960538,0.053100733,0.02107775,0.008290857,0.003034845,1,245,Texas A&M,83.55,West,7
mens,3/12/2018,0,1,0.598094157,0.247431373,0.082448653,0.02373146,0.009398694,0.00288281,1,2390,Miami (FL),83.94,South,6
mens,3/12/2018,0,1,0.706088012,0.214943766,0.072588948,0.025928114,0.008486508,0.002609259,1,52,Florida State,83.61,West,9
